id,trade_date,desk_id,product_id,quantity_0_30,quantity_31_60,quantity_61_90,quantity_91_180,quantity_181_360,quantity_GT360
159,2022-08-17,388,229,-65,-34,93,67,-73,-30
160,2020-12-31,740,427,86,-97,-64,-39,16,-12
161,2022-04-25,610,721,-88,-97,45,93,-35,-91
162,2020-09-25,749,428,93,26,-75,75,-15,-94
163,2020-11-29,609,577,65,80,-67,-8,50,88
164,2020-04-17,746,275,90,51,-9,3,11,-42
165,2020-11-19,861,310,-31,21,6,-75,-68,-22
166,2022-11-27,257,746,-76,57,13,-33,-40,-63
167,2022-01-15,471,291,43,75,-25,-89,-34,-73
168,2022-01-19,301,628,93,-92,10,-10,92,-47
169,2020-06-19,412,379,15,45,-91,9,-88,3
170,2022-05-21,783,730,60,-57,-75,-55,100,73
171,2022-02-25,761,631,-36,-29,-75,-8,13,42
172,2022-08-07,684,127,-39,-3,-87,82,-19,62
173,2021-01-27,722,891,1,35,37,11,-13,12
174,2021-11-19,649,268,-71,-70,5,39,24,-76
175,2021-06-02,227,857,-72,-51,-82,74,-24,28
176,2022-03-26,567,350,13,99,63,-82,96,-48
177,2021-12-26,374,832,98,1,63,-13,26,-15
178,2020-05-24,184,392,78,-63,56,-52,-98,70
179,2022-08-13,849,509,-61,40,60,62,-73,-19
180,2022-07-02,300,639,-81,-91,-38,99,-92,-38
181,2021-04-19,544,377,56,73,-2,-24,-78,47
182,2021-02-25,634,883,78,83,-88,-50,36,85
183,2021-08-23,188,235,-9,24,38,-87,-58,21
184,2020-11-04,171,587,88,5,-90,-11,13,-15
185,2020-06-18,481,907,-77,-66,33,-27,65,-37
186,2020-08-18,895,633,88,-28,-31,37,23,55
187,2022-09-10,680,326,46,-31,-97,-6,-19,37
188,2020-09-10,480,878,-88,52,-52,-18,73,-51
189,2021-02-07,452,240,-59,-84,74,48,-43,38
190,2020-11-06,997,299,-16,-83,-24,-64,52,81
191,2020-05-06,335,977,13,-81,70,41,84,-80
192,2022-01-02,532,388,-81,84,19,-58,35,58
193,2022-07-17,731,572,-75,7,-35,64,86,-46
194,2021-03-19,153,172,1,100,14,48,58,7
195,2022-04-13,134,960,-88,57,26,-64,17,8
196,2020-06-29,268,217,-14,77,-69,22,94,-14
197,2022-02-07,860,785,-70,-4,-77,-32,-80,-87
198,2021-03-08,239,793,63,-77,95,96,63,-16
199,2021-05-16,543,501,-71,-31,41,19,-14,-4
200,2021-05-15,563,729,-54,-66,27,-87,58,-31
201,2022-08-27,992,891,-85,-71,30,-43,-34,0
202,2022-03-08,721,294,87,97,-61,1,-47,-93
203,2022-06-23,160,931,76,-12,-18,41,9,-98
204,2020-08-13,284,246,58,6,-19,-74,-2,61
205,2020-04-07,113,976,70,70,8,20,-97,-32
206,2021-09-24,158,944,-94,-45,32,100,7,-50
207,2021-12-21,459,305,-65,-81,-38,-69,-62,5
208,2022-07-28,442,750,27,19,-7,-67,-8,29
209,2022-07-18,639,515,-81,9,-29,33,-82,-57
210,2020-11-15,631,782,12,-29,-73,-89,89,-14
211,2020-12-25,766,194,23,82,-62,-38,42,26
212,2022-04-28,641,368,-53,-10,-33,-19,-85,92
213,2022-04-04,238,329,-46,-68,24,63,-89,0
214,2022-06-01,420,674,8,43,59,-81,-95,31
215,2021-06-07,166,109,-91,15,-60,-88,88,48
216,2021-07-08,469,421,-43,-17,-78,44,-31,22
217,2022-01-05,697,271,34,22,38,-29,59,85
218,2022-04-10,635,962,-51,-2,27,-32,-48,-100
219,2022-10-11,358,590,27,-1,-55,-76,4,9
220,2022-08-12,502,140,43,-16,-84,-46,-86,4
221,2020-12-15,653,202,-59,40,6,39,55,13
222,2021-06-26,221,774,15,-74,-16,98,23,-7
223,2022-08-24,675,172,57,0,-77,-74,-70,-67
224,2022-06-06,868,838,-27,71,12,18,65,42
225,2021-10-19,205,102,82,87,20,71,-2,37
226,2022-12-20,588,149,23,-61,-65,82,7,-87
227,2021-07-22,475,124,35,-27,91,36,-9,-88
228,2021-03-19,883,853,12,37,-18,39,15,100
229,2022-01-08,880,595,-96,46,81,26,-100,-100
230,2022-10-16,202,594,67,-42,40,-58,42,19
231,2020-06-17,724,112,-47,-91,56,-26,3,-84
232,2022-10-03,363,818,-13,-11,69,-28,-58,32
233,2021-08-24,650,663,73,-31,76,99,-90,-17
234,2021-11-13,813,641,-71,37,16,82,95,-80
235,2022-04-21,552,682,77,-47,-97,41,-18,-36
236,2022-04-10,339,372,83,-31,-19,-82,60,28
237,2022-10-10,918,371,58,100,-11,49,-20,54
238,2021-11-10,747,497,-1,-49,31,-62,39,-96
239,2022-12-24,160,635,-17,66,-20,-63,59,-87
240,2022-02-15,804,515,-89,58,-88,-41,-15,49
241,2021-02-14,814,393,96,43,-66,-48,34,0
242,2020-05-27,497,261,43,52,98,-65,98,42
243,2020-08-07,905,893,-63,-30,98,67,85,-41
244,2020-12-19,750,448,-100,31,55,5,13,-87
245,2020-07-06,691,274,66,40,83,-19,77,-76
246,2021-10-07,583,834,74,-27,7,-47,-55,100
247,2020-08-23,747,247,15,-6,31,-87,-77,24
248,2022-04-27,275,844,74,55,-89,-89,-59,26
249,2021-12-07,722,980,-67,-85,-29,21,-56,42
250,2020-07-15,843,310,-62,-60,-60,16,52,-64
251,2021-06-10,300,617,11,-27,-48,-100,68,36
252,2022-12-28,294,731,80,-70,44,56,-40,-13
253,2020-04-12,487,160,12,-92,99,23,-65,36
254,2022-09-11,635,225,-79,100,-24,-1,-88,-40
255,2020-05-28,492,717,64,13,-79,86,-83,-95
256,2020-11-12,531,334,7,29,9,-8,-4,37
257,2021-04-11,349,468,-17,-6,96,6,-44,-67
258,2022-09-30,107,622,-9,-74,4,5,-42,-66
259,2021-05-27,271,659,-20,-4,40,63,-88,98
260,2021-11-11,395,775,-41,59,56,-23,65,-49
261,2020-05-26,584,889,-68,-38,-97,48,63,81
262,2021-10-17,571,993,-47,-99,74,74,-16,83
263,2021-01-02,995,140,68,30,57,8,-76,-85
264,2021-05-01,427,818,-91,-72,85,-57,-33,83
265,2022-06-25,554,517,-34,-75,-50,-93,-29,8
266,2022-02-12,414,871,-87,-15,95,-25,-61,-85
267,2020-10-05,974,703,-95,-79,-43,-69,-41,80
268,2021-07-24,588,464,2,-45,-34,-39,42,-21
269,2022-04-19,926,590,49,-66,21,59,-57,6
270,2020-12-20,331,476,-58,-28,2,-5,12,-80
271,2021-07-21,956,774,-99,95,75,-9,-34,-92
272,2020-07-19,972,309,-72,73,74,9,93,49
273,2020-04-28,366,473,99,73,9,8,-58,-68
274,2020-11-19,526,295,0,38,4,20,-3,47
275,2022-04-10,594,404,-6,-85,-14,-14,32,-51
276,2020-06-18,602,150,30,50,45,18,44,85
277,2022-05-22,731,381,-33,-24,2,21,-3,18
278,2020-09-13,862,115,16,57,99,-18,96,-7
279,2022-04-08,627,851,-73,-96,2,-95,80,25
280,2020-06-12,504,662,-74,-43,-66,-94,-33,-1
281,2022-04-21,835,642,-16,86,9,-38,63,18
282,2020-05-17,402,954,78,-88,-15,-63,44,-7
283,2022-09-02,851,266,-90,27,26,-69,45,50
284,2021-09-20,589,923,-20,45,-28,-49,78,-56
285,2022-06-06,748,120,-74,-48,95,42,5,-72
286,2022-11-03,421,377,-90,-44,51,80,-28,-36
287,2021-04-15,124,921,4,86,-32,14,6,-63
288,2022-06-19,917,100,-70,-57,-76,60,94,88
289,2020-08-11,279,854,-96,36,46,-93,-77,-13
290,2021-10-01,428,666,89,-40,0,80,55,-37
291,2021-09-23,651,172,35,51,67,-26,6,-10
292,2022-04-19,980,582,-51,-88,-58,-99,-36,-61
293,2020-09-20,400,548,-7,99,-48,-81,87,64
294,2020-12-01,195,681,48,-27,-23,41,52,39
295,2020-12-14,133,447,-29,-56,-86,0,73,69
296,2021-06-08,425,967,62,-52,-65,-3,57,-77
297,2020-12-01,244,701,5,-83,80,-8,15,-42
298,2022-01-25,677,195,66,-95,99,13,-72,-3
299,2022-04-02,332,444,-25,49,-7,-97,81,39
300,2021-10-15,690,340,5,38,-87,99,94,51
301,2022-02-26,570,691,99,84,59,-84,-30,33
302,2021-10-12,776,462,-79,51,82,-72,20,7
303,2022-12-10,199,702,-88,-46,-18,-36,84,33
304,2022-08-08,221,275,47,-86,-87,32,-44,-16
305,2022-10-12,227,406,-93,-93,76,24,-78,9
306,2022-10-31,444,903,-54,55,-86,30,-95,23
307,2022-10-13,956,497,14,85,-61,-11,39,-10
308,2020-08-24,213,658,73,59,-50,-88,93,13
309,2021-06-30,256,624,95,-83,-2,56,5,3
310,2020-08-25,534,336,-85,55,-9,7,-50,67
311,2021-04-02,969,623,26,-82,57,54,-15,-35
312,2022-09-12,620,175,66,5,-62,-57,-14,-50
313,2020-12-31,800,514,-65,-39,-11,-96,55,-12
314,2022-04-06,216,394,-75,-92,11,54,-7,-37
315,2022-05-09,998,123,-44,-68,75,-60,-34,84
316,2020-07-30,915,608,30,50,22,20,71,-78
317,2020-08-23,917,960,16,-46,96,58,74,-82
318,2020-09-09,889,679,-16,-43,100,-13,-100,-9
319,2020-09-11,282,522,-71,90,27,-86,-29,-34
320,2022-06-02,843,882,-18,34,-53,-78,61,74
321,2021-11-08,273,595,-5,69,-79,10,-14,8
322,2021-01-02,153,450,51,-17,100,87,-5,74
323,2022-07-26,119,779,-56,1,47,92,24,100
324,2021-09-21,728,160,-23,58,-45,-50,-88,-86
325,2022-03-27,392,732,94,-66,-48,27,14,70
326,2022-08-15,291,901,-15,-64,-54,24,-34,-55
327,2020-05-24,582,633,-90,50,28,33,-25,-98
328,2020-10-08,269,355,-86,-99,93,95,-84,46
329,2020-06-26,807,584,-66,-27,-47,56,-74,-59
330,2022-03-10,292,967,8,8,-29,-29,62,-3
331,2022-10-14,619,147,13,-34,82,63,81,-70
332,2022-10-01,894,665,72,79,-24,42,-86,-90
333,2021-12-10,772,577,-99,77,37,78,15,-74
334,2022-10-29,202,342,-66,36,11,35,0,84
335,2022-07-02,709,150,38,51,-35,90,-25,-95
336,2021-03-26,409,465,-41,9,-23,78,49,49
337,2021-11-13,899,654,20,-99,17,19,0,52
338,2022-03-20,935,645,27,-49,-16,47,-61,-31
339,2021-05-04,451,572,-63,-26,-99,17,73,84
340,2022-11-22,312,442,42,97,-42,-17,-60,-70
341,2021-06-26,283,219,-18,-12,82,97,97,63
342,2022-10-30,772,507,71,-52,70,-60,-69,-60
343,2021-05-10,667,392,12,37,-10,-54,-64,-58
344,2020-05-22,283,612,37,52,78,-18,-71,27
345,2022-04-07,184,578,-85,-51,20,27,5,-77
346,2022-07-09,916,126,27,58,41,-27,60,13
347,2021-06-05,512,854,11,67,55,-8,65,-87
348,2022-08-30,314,380,-89,94,-7,15,-8,-6
349,2021-04-04,502,703,-15,74,-71,80,-82,-57
350,2022-09-30,959,248,81,65,77,-94,50,-37
351,2021-05-14,690,681,-9,4,100,-42,-23,80
352,2022-06-22,503,255,-86,33,-63,33,-73,86
353,2021-11-06,127,283,-86,-13,-62,-17,-56,-74
354,2022-11-07,871,468,-45,21,66,70,-84,64
355,2020-11-20,315,623,-35,72,-25,-11,-12,69
356,2021-02-07,398,223,86,-12,65,66,85,-65
357,2021-07-17,928,979,-72,-66,72,-72,1,-56
358,2021-12-28,954,743,-53,-26,80,8,-93,32
359,2021-04-03,378,769,-76,59,56,-58,82,52
360,2022-09-28,413,834,72,53,43,59,-48,68
361,2020-04-23,429,861,6,-90,-17,-44,40,-18
362,2021-05-24,607,188,60,41,22,-100,-77,-95
363,2020-09-20,321,705,2,-18,86,-17,62,-25
364,2021-12-15,912,409,-94,33,-72,12,-48,6
365,2021-12-04,482,692,47,-81,41,46,-51,13
366,2021-11-09,236,273,83,29,-20,-46,78,-86
367,2022-05-08,100,993,9,71,-45,7,-91,22
368,2021-07-08,869,909,-45,49,-75,11,45,-7
369,2021-02-20,137,207,-92,27,-77,4,60,77
370,2020-12-28,932,298,85,23,86,-53,95,-85
371,2020-06-19,294,188,78,99,-17,-41,-59,59
372,2022-06-11,996,275,-9,-19,-23,-94,-66,-71
373,2021-02-10,508,815,72,-48,-34,-68,-50,23
374,2020-10-23,618,385,-100,66,-1,-30,1,51
375,2022-12-29,263,833,43,83,70,-16,56,20
376,2021-05-02,499,130,95,-19,44,16,92,46
377,2021-01-10,562,250,-71,94,14,-90,48,-65
378,2021-06-25,778,923,36,46,20,-13,-40,-9
379,2020-09-28,208,617,-76,-36,26,-61,-13,-98
380,2020-05-03,181,768,100,84,43,67,91,-21
381,2022-01-15,940,648,10,62,-60,75,-95,-53
382,2020-06-30,949,693,59,31,-30,-82,60,-25
383,2021-09-30,981,287,7,19,66,-54,-8,9
384,2021-04-18,742,733,-73,3,98,-46,-37,-91
385,2021-10-23,819,315,-82,-69,87,31,7,51
386,2021-10-21,958,685,-17,48,27,4,-58,3
387,2020-10-29,140,809,-6,-88,46,99,-6,-52
388,2021-12-06,161,445,-31,44,-60,61,-43,-8
389,2022-05-05,877,989,17,5,73,-71,93,-15
390,2021-03-13,490,757,46,-49,-32,13,-36,79
391,2022-12-07,367,138,44,64,18,-6,-45,26
392,2022-11-01,155,741,71,-75,96,-94,20,-19
393,2021-04-07,310,687,1,17,63,-5,11,35
394,2021-03-16,790,293,-65,89,-30,-98,-47,23
395,2022-06-27,570,633,35,-99,-82,64,12,-66
396,2022-08-16,906,365,61,-32,-45,30,34,99
397,2022-04-05,761,979,-92,-57,36,-99,6,-90
398,2021-12-14,480,811,58,-70,-88,-96,95,27
399,2021-08-16,503,393,56,83,-48,98,83,96
400,2021-01-10,978,124,75,-29,8,-100,-10,33
401,2022-03-25,910,510,-13,-49,-37,-38,20,63
402,2022-04-10,781,676,36,-82,25,18,-78,82
403,2021-09-21,246,813,61,-15,-23,23,61,20
404,2021-06-04,690,139,-39,77,45,82,52,-9
405,2020-08-16,737,881,-65,-56,39,-3,9,-90
406,2021-12-05,737,112,45,-83,-96,14,61,96
407,2020-06-28,618,244,25,28,-96,-87,60,-10
408,2021-02-18,369,566,-82,-46,38,7,-20,47
409,2022-11-15,334,833,-12,93,-6,-42,77,25
410,2022-10-08,243,351,-86,-82,9,-45,19,-3
411,2020-04-11,486,108,-59,25,-96,-69,-94,-72
412,2021-11-07,342,443,-6,-92,76,-71,-7,36
413,2021-03-09,640,623,26,-48,-77,-37,-71,0
414,2022-02-06,139,302,-23,-17,-3,-12,-2,-76
415,2022-04-28,179,842,3,66,-9,17,-96,10
416,2022-02-13,246,613,4,91,89,-59,-50,76
417,2022-10-03,872,181,23,96,-100,78,-43,52
418,2021-06-12,476,299,76,4,83,96,-1,-69
419,2022-04-27,772,950,-63,-78,-27,-63,98,-85
420,2020-05-14,925,882,-21,-93,44,-11,85,-23
421,2022-10-15,678,421,-75,-9,-57,-61,-46,-17
422,2021-03-08,393,739,-28,98,-58,72,-74,55
423,2021-05-31,269,787,-6,86,44,24,-20,32
424,2021-03-16,786,865,-4,82,-8,-7,49,-64
425,2020-08-31,223,434,-60,-41,-29,-87,-46,-55
426,2021-09-24,698,283,-61,6,-75,42,-59,56
427,2020-07-09,386,481,90,52,-56,97,49,10
428,2021-12-22,371,337,-33,-85,36,-68,59,-62
429,2020-10-02,906,688,-46,-86,1,11,99,83
430,2021-02-24,815,727,22,52,-46,-38,81,-27
431,2022-07-31,104,961,86,-21,-97,-54,92,12
432,2020-07-26,477,113,99,67,51,-61,84,-49
433,2022-11-30,885,467,12,-73,10,-77,46,-84
434,2021-03-02,850,209,34,81,-96,15,5,-66
435,2020-07-31,179,845,-16,-49,-51,65,-76,21
436,2021-12-06,731,500,2,80,22,-73,-44,-7
437,2020-10-10,700,200,76,-13,-57,-51,52,-31
438,2021-10-17,722,721,57,-10,-18,-17,-41,46
439,2021-05-24,918,171,44,83,-94,79,-69,-36
440,2022-01-11,332,584,71,-81,-50,70,58,3
441,2020-05-25,639,852,31,-89,-58,100,-10,-22
442,2022-07-09,958,409,-23,67,28,-11,75,58
443,2021-02-18,533,890,-100,-15,-89,-41,-24,22
444,2022-10-17,811,101,17,12,-73,-65,-78,-95
445,2020-06-02,630,543,-37,32,-44,53,-55,51
446,2020-08-03,153,521,93,15,26,47,-5,78
447,2020-11-30,677,797,-81,61,10,68,-23,-61
448,2021-06-06,839,415,-95,26,-34,40,-35,-45
449,2021-01-15,984,216,-89,8,34,5,4,12
450,2022-10-07,771,136,-81,59,41,-94,-53,-100
451,2020-11-17,488,704,52,-46,18,52,48,75
452,2020-05-30,102,411,20,62,61,1,44,75
453,2020-08-18,779,445,49,72,-73,12,-14,49
454,2020-12-05,625,556,-54,6,-33,-41,-42,-84
455,2020-10-20,399,163,-23,67,63,79,14,-43
456,2021-09-04,643,357,-75,-49,99,-5,50,-28
457,2020-09-17,336,847,70,89,-93,-2,-97,26
458,2022-09-20,1000,594,-41,88,76,69,-3,58
459,2021-06-14,534,827,-29,24,34,-64,65,92
460,2020-07-11,737,147,4,96,-99,-4,35,67
461,2021-07-17,705,532,-39,7,47,50,-43,-23
462,2021-02-22,473,991,-12,-29,98,-59,-25,-13
463,2022-11-24,868,131,48,50,22,27,17,84
464,2020-06-16,442,345,16,94,-24,16,24,-79
465,2021-11-26,131,261,-56,75,21,-68,60,35
466,2021-04-19,844,742,70,2,49,-99,-28,56
467,2020-07-12,373,945,-13,7,-17,-20,49,100
468,2022-12-16,360,182,29,24,-61,32,-65,-72
469,2022-09-28,719,585,-21,70,98,-27,33,34
470,2021-02-09,493,767,-84,-36,86,85,93,-95
471,2021-02-19,583,957,-35,78,63,78,98,-37
472,2022-12-17,889,180,-94,11,-67,2,-14,74
473,2021-02-11,768,791,79,99,57,78,28,-53
474,2021-02-17,473,488,14,-54,-96,-29,-75,26
475,2022-07-13,851,421,-48,78,18,49,-6,-98
476,2021-10-28,547,469,89,3,14,-11,-95,-64
477,2022-10-22,433,855,12,44,-88,70,-73,-28
478,2021-02-24,210,236,-82,12,9,-16,70,-43
479,2022-03-13,238,924,-95,-60,-89,93,68,-43
480,2022-09-03,963,459,-73,-29,28,-2,-16,9
481,2022-01-12,713,398,-88,91,32,-87,75,-39
482,2022-08-10,316,423,84,-92,-32,-82,-31,-47
483,2021-05-12,294,403,-77,37,52,16,77,-49
484,2021-09-11,536,677,25,-52,-16,-5,92,42
485,2021-08-16,648,884,48,-63,-50,-54,-48,-77
486,2021-03-16,561,539,-18,18,70,-40,-86,-69
487,2022-08-07,746,903,-25,-89,-13,2,1,60
488,2022-10-31,432,522,36,-81,-54,-3,3,-65
489,2022-07-11,359,157,-90,100,-95,-23,-100,-4
490,2021-10-03,395,807,-95,-45,34,-17,-1,51
491,2021-02-17,714,457,-12,44,-24,46,-56,-47
492,2021-06-25,428,706,-60,-61,19,88,-79,87
493,2022-10-13,332,853,76,25,-51,49,-63,-66
494,2022-10-19,337,452,-92,-57,-55,-96,57,84
495,2021-05-21,146,337,-49,27,-99,-88,90,-94
496,2022-11-04,288,859,19,18,-43,97,-73,-8
497,2021-05-10,111,268,73,-70,-25,47,-89,49
498,2020-09-28,240,350,83,-73,43,-50,-85,-80
499,2021-10-21,246,296,56,-99,29,-63,51,11
500,2022-04-09,576,698,62,-28,30,28,87,-32
501,2021-08-09,408,930,83,10,80,-36,37,-55
502,2021-11-05,530,272,37,52,-27,-28,-30,19
503,2020-12-16,386,719,-4,82,60,-56,-34,-47
504,2020-10-02,218,596,52,46,2,-6,21,37
505,2022-04-27,567,921,39,-41,-52,51,-11,31
506,2022-07-04,662,843,82,35,39,18,61,21
507,2022-04-27,466,143,-80,-59,-85,-53,96,61
508,2021-03-16,914,351,14,56,-15,30,23,47
509,2022-04-27,219,994,75,-4,32,16,12,43
510,2021-06-15,743,322,93,64,-6,16,3,73
511,2021-02-27,111,961,-6,-32,68,-11,-52,-88
512,2020-11-07,700,781,63,1,-49,-27,-76,93
513,2020-08-29,108,753,-22,82,-63,-55,-37,47
514,2021-01-13,155,509,-49,24,65,-32,-24,74
515,2021-05-04,981,970,27,87,27,-68,14,34
516,2021-09-12,448,924,-60,63,51,83,-28,95
517,2020-07-13,157,988,3,-8,-83,64,74,-76
518,2021-01-27,528,238,77,-1,-88,-11,-72,0
519,2021-05-09,495,659,5,-99,11,93,-79,-56
520,2021-04-07,677,577,56,-79,58,-90,63,52
521,2022-07-20,111,750,61,-99,29,-100,46,19
522,2020-10-10,927,347,63,0,-95,79,77,38
523,2022-04-04,918,681,98,-67,-36,54,74,66
524,2021-04-27,936,556,-60,-2,-26,72,-25,12
525,2022-03-08,366,825,-89,-11,21,8,-72,-97
526,2021-01-21,631,153,70,70,50,-89,-88,-89
527,2022-09-23,637,296,-6,-49,55,-30,50,-53
528,2020-07-18,231,732,35,-23,85,25,21,63
529,2022-08-12,551,533,-18,42,45,60,32,64
530,2022-10-08,414,953,-70,70,-24,-86,89,-51
531,2021-07-05,296,256,58,18,54,86,-72,70
532,2021-03-03,158,987,-84,-34,-13,-67,-6,66
533,2021-03-09,948,246,-85,-11,-45,32,72,96
534,2022-03-04,767,330,-37,49,-53,14,66,37
535,2021-12-26,198,490,23,98,-86,11,73,-52
536,2020-04-23,659,334,-1,-64,48,-20,91,79
537,2021-04-11,592,224,7,-98,52,44,-55,31
538,2020-05-22,298,792,-93,-17,-77,-3,-88,-12
539,2020-07-12,355,970,20,-51,59,64,88,76
540,2022-03-08,426,695,-76,65,11,71,-41,27
541,2021-08-22,320,879,27,-50,-89,84,74,9
542,2021-03-03,923,841,88,38,32,-53,52,38
543,2021-04-17,544,345,-36,-2,9,-92,5,-1
544,2020-06-02,387,936,28,84,54,9,98,97
545,2022-08-10,839,470,8,-76,40,30,-8,100
546,2020-04-23,827,510,20,34,-11,70,21,69
547,2022-05-05,529,207,-19,77,-85,-9,-77,-13
548,2022-01-06,627,264,32,57,52,-54,-99,94
549,2022-09-27,430,716,-54,-58,44,-86,31,28
550,2022-09-14,267,386,-26,-86,0,-70,5,-90
551,2021-03-09,690,452,-10,-6,-13,-13,-20,-42
552,2021-10-06,111,602,-68,-77,100,31,-67,-52
553,2022-01-08,506,884,57,80,-69,13,-11,-46
554,2021-10-03,953,662,98,-64,97,55,-68,-23
555,2022-04-19,202,440,85,4,24,56,-8,-83
556,2022-10-16,140,974,-56,-96,12,85,-4,27
557,2022-02-01,630,359,64,-48,-6,2,75,77
558,2021-03-01,124,905,-65,73,-42,-8,-96,81
559,2022-10-08,133,944,-48,-68,-41,-14,-94,85
560,2022-04-21,769,526,97,3,69,99,12,70
561,2021-01-24,837,419,-85,100,91,6,-45,-100
562,2022-09-07,581,187,36,50,21,-29,23,-7
563,2022-08-15,904,939,-17,75,14,94,80,5
564,2022-12-10,204,521,37,-67,100,42,-89,-67
565,2022-04-14,446,824,34,82,-54,-98,-17,64
566,2020-09-22,631,636,-86,21,37,-89,5,67
567,2020-09-15,852,220,54,-91,-58,53,-71,-46
568,2022-06-21,347,576,47,35,-36,-56,19,-9
569,2022-07-26,535,302,98,-28,-33,50,49,99
570,2022-03-30,921,536,-19,-97,36,11,-54,77
571,2021-04-12,559,693,6,-38,71,11,17,-59
572,2020-10-06,883,349,-65,-95,60,-60,68,-7
573,2020-08-19,635,786,26,-99,-70,0,-7,24
574,2020-06-12,530,435,-62,-23,99,-82,84,-16
575,2020-12-09,183,569,17,18,64,31,2,-48
576,2022-07-18,479,259,-81,-89,50,-63,-32,59
577,2022-07-24,750,677,-15,-49,-100,4,-28,-1
578,2020-05-24,505,895,-94,58,59,-79,-31,64
579,2022-09-01,104,658,-30,13,-63,15,-15,74
580,2022-04-15,883,926,-87,-85,67,-15,-72,98
581,2021-10-25,654,244,43,54,-65,-38,-8,-81
582,2020-04-18,918,259,-100,97,67,19,95,-20
583,2020-10-12,677,976,-68,28,11,46,44,73
584,2022-09-05,281,532,34,-99,-55,-41,66,-61
585,2022-05-09,243,229,93,74,3,19,2,11
586,2021-03-04,163,331,-8,89,-65,7,-67,-82
587,2022-01-05,215,513,-98,-11,1,-24,-26,-37
588,2021-09-04,288,673,-21,-42,-48,-49,65,-11
589,2020-09-22,446,541,-50,-14,-49,-97,7,-47
590,2021-04-29,669,129,-96,3,52,-17,84,34
591,2021-04-23,668,755,-55,49,97,97,-7,-95
592,2020-08-06,561,643,-67,39,-36,-52,40,81
593,2021-11-04,518,916,-97,-66,-20,98,21,4
594,2022-11-13,215,868,-41,-61,47,40,-65,-40
